1169348.96555, 3,  -0.555,  0.838,  9.768
1169348.97551, 3,  -0.306,  0.915, 10.132, 4,  -0.287, -0.297,  0.127
1169348.98549, 3,   0.091,  0.862, 10.496, 4,  -0.301, -0.265,  0.150
1169348.99540, 3,   0.273,  0.843, 10.827, 4,  -0.283, -0.203,  0.152
1169349.00531, 3,   0.292,  0.795, 11.061, 4,  -0.233, -0.140,  0.128
1169349.01524, 3,   0.220,  0.757, 10.946, 4,  -0.147, -0.100,  0.100
1169349.02520, 3,   0.010,  0.790, 10.755, 4,  -0.049, -0.080,  0.074
1169349.03520, 3,  -0.091,  0.785, 10.434, 4,   0.036, -0.076,  0.064
1169349.04506, 3,   0.101,  0.862, 10.199, 4,   0.085, -0.105,  0.068
1169349.05501, 3,   0.283,  0.986, 10.099, 4,   0.088, -0.156,  0.071
1169349.06492, 3,   0.474,  1.097, 10.185, 4,   0.067, -0.185,  0.052
1169349.07487, 3,   0.560,  1.312, 10.400, 4,   0.036, -0.190,  0.037
1169349.08479, 3,   0.833,  1.369, 10.305, 4,   0.007, -0.184,  0.025
1169349.09474, 3,   0.991,  1.307, 12.177, 4,  -0.021, -0.164,  0.018
1169349.10467, 3,   1.053,  0.871, 12.617, 4,   0.018, -0.183,  0.029
1169349.11462, 3,   1.633,  1.192, 14.040, 4,   0.048, -0.121,  0.010
1169349.12454, 3,   2.969,  2.533, 11.741, 4,   0.126, -0.076, -0.043
1169349.13447, 3,   1.101,  0.187,  7.709, 4,   0.176, -0.021, -0.110
1169349.14441, 3,   3.448,  2.619, 13.297, 4,   0.203,  0.055, -0.168
1169349.15434, 3,   1.015, -0.407, 11.554, 4,   0.240,  0.085, -0.229
1169349.16430, 3,   2.428,  0.843,  3.692, 4,   0.247,  0.104, -0.283
1169349.17420, 3,   3.946,  2.619, 11.171, 4,   0.242,  0.115, -0.348
1169349.18416, 3,   2.485,  1.025, 16.731, 4,   0.248,  0.105, -0.404
1169349.19407, 3,   0.862, -1.116, 11.152, 4,   0.254,  0.069, -0.429
1169349.20402, 3,   1.532, -1.082,  3.610, 4,   0.259,  0.017, -0.441
1169349.21395, 3,   3.371,  0.642,  3.639, 4,   0.271, -0.028, -0.461
1169349.22389, 3,   4.506,  1.537, 10.846, 4,   0.292, -0.076, -0.482
1169349.23381, 3,   3.587,  0.215, 16.247, 4,   0.313, -0.138, -0.501
1169349.24379, 3,   1.949, -2.016, 13.403, 4,   0.333, -0.206, -0.524
1169349.25368, 3,   1.398, -2.897,  5.540, 4,   0.339, -0.255, -0.554
1169349.26362, 3,   2.466, -1.556,  2.059, 4,   0.322, -0.291, -0.574
1169349.27370, 3,   3.610, -0.057,  7.379, 4,   0.297, -0.317, -0.569
1169349.28352, 3,   3.179, -0.364, 14.844, 4,   0.294, -0.348, -0.525
