1901139.99275, 3,   6.767,  1.548,  9.331, 4,  -1.295,  0.847,  0.815, 5,  28.255,  4.558,-27.415
1901140.01222, 3,   7.909,  2.132, 10.906, 4,  -1.374,  0.338,  0.598, 5,  28.645,  3.859,-27.519
1901140.03169, 3,   8.481,  3.293, 11.005, 4,  -1.256, -0.090,  0.525, 5,  28.922,  3.265,-27.515
1901140.05113, 3,   8.408,  3.829, 11.531, 4,  -1.038, -0.107,  0.360, 5,  29.311,  2.718,-27.721
1901140.07060, 3,   7.609,  4.415, 13.859, 4,  -1.038,  0.105,  0.003, 5,  29.649,  1.857,-27.882
1901140.09007, 3,   7.032,  4.616, 15.318, 4,  -1.158,  0.066, -0.456, 5,  30.086,  1.022,-27.960
1901140.10954, 3,   6.287,  4.618, 15.891, 4,  -1.081, -0.215, -0.840, 5,  30.811,  0.053,-28.079
1901140.12901, 3,   5.515,  4.349, 16.290, 4,  -0.833, -0.353, -1.198, 5,  31.609, -1.089,-27.637
1901140.14848, 3,   4.419,  4.093, 16.315, 4,  -0.548, -0.477, -1.547, 5,  31.671, -0.946,-27.635
1901140.16795, 3,   2.843,  3.094, 15.679, 4,  -0.278, -0.492, -1.912, 5,  31.686, -0.887,-27.504
1901140.18748, 3,   1.067,  2.091, 14.734, 4,  -0.063, -0.333, -2.254, 5,  31.711, -0.749,-27.446
1901140.20689, 3,  -0.339,  0.798, 14.222, 4,   0.103, -0.289, -2.532, 5,  31.676, -0.606,-27.303
1901140.22636, 3,  -2.384, -0.551, 14.395, 4,   0.164, -0.421, -2.724, 5,  31.540, -0.278,-27.228
1901140.24583, 3,  -4.115, -2.005, 13.891, 4,   0.165, -0.484, -2.802, 5,  31.931, -0.348,-26.825
1901140.26530, 3,  -4.849, -2.731, 13.236, 4,   0.290, -0.563, -2.646, 5,  32.007, -0.093,-26.634
1901140.28474, 3,  -3.561, -3.107, 12.206, 4,   0.541, -0.789, -2.271, 5,  31.837,  0.389,-26.558
1901140.30421, 3,  -1.572, -3.811, 10.109, 4,   0.746, -0.895, -1.817, 5,  31.435,  1.222,-26.474
1901140.32371, 3,  -1.372, -5.440,  9.019, 4,   0.841, -0.572, -1.513, 5,  31.027,  2.315,-26.489
1901140.34315, 3,  -2.408, -6.697,  9.129, 4,   0.708,  0.039, -1.506, 5,  30.341,  3.714,-26.884
1901140.36262, 3,  -2.674, -7.791,  8.805, 4,   0.544,  0.374, -1.575, 5,  29.587,  5.406,-27.322
1901140.38209, 3,  -1.627, -8.270,  7.930, 4,   0.679,  0.068, -1.417, 5,  28.612,  6.798,-27.475
1901140.40156, 3,  -0.499, -8.163,  7.043, 4,   0.904, -0.366, -1.063, 5,  27.409,  8.257,-27.916
1901140.42103, 3,  -0.398, -8.234,  6.274, 4,   0.876, -0.214, -0.728, 5,  26.207,  9.570,-28.128
1901140.44050, 3,  -1.225, -8.369,  6.161, 4,   0.574,  0.647, -0.503, 5,  25.035, 11.073,-28.473
1901140.45997, 3,  -1.157, -8.694,  6.155, 4,   0.209,  1.545, -0.294, 5,  23.833, 12.624,-29.146
1901140.47944, 3,   0.814, -9.059,  4.956, 4,   0.066,  1.833,  0.053, 5,  23.936, 12.540,-28.934
1901140.49931, 3,   2.023, -9.198,  3.782, 4,   0.223,  1.575,  0.464, 5,  23.431, 13.094,-29.532
1901140.51835, 3,   0.901, -8.912,  3.257, 4,   0.358,  1.222,  0.650
1901140.53782, 3,   0.438, -8.616,  4.207, 4,   0.247,  1.058,  0.554, 5,  23.671, 12.921,-29.343
1901140.55729, 3,   0.464, -7.158,  5.857, 4,  -0.111,  1.031,  0.551, 5,  23.878, 12.823,-29.323
1901140.57676, 3,   2.331, -5.037,  5.749, 4,  -0.406,  0.959,  0.812, 5,  24.106, 12.642,-28.946
1901140.59623, 3,   2.719, -1.875,  6.107, 4,  -0.362,  0.713,  1.170, 5,  24.326, 12.772,-29.083
1901140.61570, 3,   0.500,  0.358,  7.443, 4,  -0.299,  0.363,  1.291, 5,  24.620, 12.408,-29.036
1901140.63518, 3,  -0.311,  2.256,  9.443, 4,  -0.403,  0.111,  1.172, 5,  25.133, 11.932,-28.319
1901140.65465, 3,  -0.741,  4.106,  8.801, 4,  -0.543,  0.059,  1.258, 5,  26.320, 11.128,-27.542
1901140.67412, 3,   1.612,  5.410,  8.229, 4,  -0.552,  0.530,  1.414, 5,  26.758, 10.742,-27.325
1901140.69359, 3,   1.491,  6.731,  8.436, 4,  -0.549,  0.552,  1.488, 5,  27.957, 10.086,-26.585
1901140.71306, 3,  -2.197,  7.356, 11.213, 4,  -0.803,  0.096,  1.335, 5,  28.210,  9.839,-26.387
1901140.73253, 3,  -3.374,  5.391, 14.174, 4,  -1.377, -0.149,  0.819, 5,  29.266,  9.035,-25.868
1901140.75197, 3,  -1.360,  4.300, 15.250, 4,  -1.667, -0.456,  0.461, 5,  29.477,  8.809,-25.836
1901140.77156, 3,   1.260,  4.521, 14.674, 4,  -1.391, -0.934,  0.663, 5,  29.666,  8.560,-25.706
1901140.79091, 3,   0.742,  5.274, 15.958, 4,  -1.052, -0.797,  1.046, 5,  29.872,  8.397,-25.690
1901140.81038, 3,   0.255,  4.574, 16.586, 4,  -1.094, -0.111,  1.033, 5,  30.064,  8.289,-25.540
1901140.82985, 3,   1.184,  4.043, 14.956, 4,  -0.923,  0.277,  0.744, 5,  30.223,  8.205,-25.366
1901140.84932, 3,   1.427,  3.494, 12.112, 4,  -0.150, -0.241,  0.536, 5,  30.370,  8.046,-25.250
1901140.86879, 3,   1.321,  3.098, 10.738, 4,   0.551, -0.638,  0.371, 5,  30.502,  7.802,-25.223
1901140.88826, 3,   0.482,  2.986, 11.441, 4,   0.621, -0.506,  0.233, 5,  30.627,  7.579,-25.163
1901140.90773, 3,   0.023,  2.055, 11.162, 4,   0.273, -0.072,  0.179, 5,  30.737,  7.309,-25.142
1901140.92720, 3,   0.760,  1.162, 10.035, 4,   0.080,  0.339,  0.190, 5,  30.876,  7.098,-24.960
1901140.94664, 3,   2.189,  1.408,  9.495, 4,   0.243,  0.245,  0.221, 5,  31.030,  6.873,-24.951
1901140.96611, 3,   1.207,  1.308,  9.821, 4,   0.388, -0.080,  0.174, 5,  31.172,  6.680,-24.883
1901140.98558, 3,  -0.835,  0.181, 10.018, 4,   0.302, -0.016, -0.162, 5,  31.308,  6.520,-24.876
1901141.00505, 3,  -1.145, -0.790,  9.894, 4,   0.251,  0.063, -0.476, 5,  31.392,  6.563,-24.898
1901141.02455, 3,  -0.178, -0.663,  9.233, 4,   0.353, -0.162, -0.452, 5,  31.815,  6.154,-24.704
1901141.04399, 3,  -0.223, -0.395,  9.492, 4,   0.424, -0.251, -0.254, 5,  32.222,  5.658,-24.673
1901141.06346, 3,  -0.838, -0.586, 10.419, 4,   0.283,  0.023, -0.210, 5,  32.272,  5.676,-24.733
1901141.08339, 3,  -0.386, -0.738, 11.028, 4,   0.173,  0.006, -0.259, 5,  32.245,  5.586,-24.788
1901141.10240, 3,  -0.163, -0.787,  9.996, 4,   0.284, -0.240, -0.224
1901141.12187, 3,  -0.316, -0.586,  9.746, 4,   0.447, -0.085, -0.200, 5,  32.291,  5.605,-24.866
1901141.14134, 3,  -0.641, -0.490,  9.902, 4,   0.471,  0.164, -0.253, 5,  32.285,  5.490,-24.887
1901141.16081, 3,  -0.523, -0.333, 10.482, 4,   0.414, -0.118, -0.280, 5,  32.301,  5.537,-24.980
1901141.18028, 3,   0.207, -0.148,  9.786, 4,   0.440, -0.432, -0.242, 5,  32.298,  5.447,-24.995
1901141.19972, 3,  -0.254, -0.420,  9.159, 4,   0.488, -0.403, -0.161, 5,  32.269,  5.333,-25.011
1901141.21919, 3,  -0.951, -0.206, 10.119, 4,   0.403, -0.073, -0.146, 5,  32.301,  5.038,-24.918
