1175509.60588, 3,  -0.737,  0.024, 10.127
1175509.61569, 3,  -0.330,  0.086, 10.621, 4,  -0.537, -0.486, -0.179
1175509.62579, 3,   0.321,  0.163, 10.855, 4,  -0.591, -0.594, -0.097
1175509.63557, 3,   0.737,  0.096, 11.100, 4,  -0.586, -0.554, -0.120
1175509.64562, 3,   0.943, -0.029, 11.262, 4,  -0.558, -0.450, -0.193
1175509.65564, 3,   0.690, -0.124, 11.382, 4,  -0.510, -0.322, -0.283
1175509.66550, 3,   0.326, -0.287, 11.286, 4,  -0.423, -0.228, -0.354
1175509.67541, 3,   0.024, -0.546, 11.013, 4,  -0.316, -0.184, -0.373
1175509.68524, 3,  -0.124, -0.814, 10.573, 4,  -0.209, -0.211, -0.359
1175509.69528, 3,  -0.254, -0.867, 10.185, 4,  -0.148, -0.289, -0.345
1175509.70520, 3,  -0.239, -0.986,  9.797, 4,  -0.146, -0.377, -0.328
1175509.71519, 3,  -0.048, -1.226,  9.759, 4,  -0.190, -0.445, -0.310
1175509.72501, 3,   0.220, -1.638,  9.725, 4,  -0.270, -0.480, -0.300
1175509.73493, 3,   0.536, -2.203, 10.003, 4,  -0.364, -0.486, -0.309
1175509.74489, 3,   0.666, -2.610, 10.357, 4,  -0.450, -0.466, -0.346
1175509.75502, 3,   0.522, -3.007, 10.812, 4,  -0.497, -0.455, -0.408
1175509.76471, 3,   0.259, -3.227, 11.186, 4,  -0.491, -0.425, -0.471
1175509.77465, 3,  -0.062, -3.366, 11.406, 4,  -0.405, -0.348, -0.504
1175509.78458, 3,  -0.546, -3.529, 11.463, 4,  -0.248, -0.223, -0.502
1175509.79464, 3,  -0.962, -3.797, 11.329, 4,  -0.058, -0.076, -0.454
1175509.80457, 3,  -1.690, -3.893, 10.922, 4,   0.142,  0.052, -0.342
1175509.81451, 3,  -2.145, -3.821, 10.444, 4,   0.298,  0.143, -0.194
1175509.82442, 3,  -2.155, -3.644,  9.682, 4,   0.388,  0.173, -0.017
1175509.83435, 3,  -1.824, -3.553,  9.069, 4,   0.380,  0.080,  0.144
1175509.84428, 3,  -1.164, -3.754,  8.715, 4,   0.314,  0.004,  0.267
1175509.85424, 3,  -0.646, -3.994,  8.595, 4,   0.232,  0.035,  0.353
1175509.86417, 3,  -0.541, -3.745,  8.207, 4,   0.134,  0.195,  0.407
1175509.87409, 3,  -0.613, -3.385,  8.107, 4,   0.019,  0.305,  0.496
1175509.88407, 3,  -0.335, -3.093,  8.231, 4,  -0.108,  0.446,  0.571
1175509.89413, 3,  -0.096, -2.926,  8.461, 4,  -0.225,  0.522,  0.630
