3226.12047, 3,   0.077, -0.192,  9.874
3226.12458, 3,   0.077, -0.316,  9.874
3226.12843, 3,   0.067, -0.316,  9.864
3226.13343, 3,   0.038, -0.306,  9.787
3226.13838, 3,  -0.077, -0.239,  9.711
3226.14336, 3,  -0.096, -0.172,  9.768
3226.14833, 3,  -0.239, -0.144,  9.835
3226.15326, 3,  -0.316, -0.144,  9.807
3226.15822, 3,  -0.287, -0.144,  9.941
3226.16323, 3,  -0.268, -0.144,  9.778
3226.16818, 3,  -0.259, -0.220,  9.855
3226.17311, 3,  -0.239, -0.220,  9.835
3226.18037, 3,  -0.239, -0.239,  9.835
3226.18319, 3,  -0.373, -0.259,  9.835
3226.18799, 3,  -0.431, -0.268,  9.749
3226.19297, 3,  -0.450, -0.192,  9.720
3226.19794, 3,  -0.536, -0.192,  9.701
3226.20294, 3,  -0.670, -0.192,  9.787
3226.20797, 3,  -0.690, -0.211,  9.807
3226.21284, 3,  -0.747, -0.230,  9.826
3226.21778, 3,  -0.824, -0.316, 10.008
3226.22277, 3,  -0.843, -0.335,  9.902
3226.22775, 3,  -0.958, -0.431,  9.969
3226.23265, 3,  -0.948, -0.431,  9.960
3226.23761, 3,  -0.948, -0.441, 10.017
3226.24268, 3,  -1.025, -0.536, 10.036
3226.24753, 3,  -1.025, -0.517, 10.056
3226.25761, 3,  -1.006, -0.498, 10.056
3226.26244, 3,  -0.977, -0.412, 10.056
3226.26740, 3,  -0.900, -0.412, 10.065
3226.27240, 3,  -0.871, -0.402,  9.989
3226.27742, 3,  -0.852, -0.306,  9.969
3226.28233, 3,  -0.852, -0.249,  9.950
3226.28729, 3,  -0.785, -0.230,  9.931
3226.29239, 3,  -0.699, -0.105,  9.989
3226.29717, 3,  -0.680, -0.048,  9.960
3226.30214, 3,  -0.508, -0.019,  9.816
3226.30721, 3,  -0.354, -0.038,  9.950
3226.31210, 3,  -0.249, -0.019,  9.845
3226.31706, 3,  -0.067, -0.077,  9.979
3226.32202, 3,   0.086, -0.134, 10.046
3226.32709, 3,   0.192, -0.144, 10.123
3226.33197, 3,   0.373, -0.249, 10.238
3226.33687, 3,   0.527, -0.268, 10.343
3226.34195, 3,   0.661, -0.287, 10.362
3226.34679, 3,   0.843, -0.287, 10.496
3226.35180, 3,   1.082, -0.105, 10.477
3226.35675, 3,   1.302,  0.010, 10.582
3226.36168, 3,   1.714,  0.124, 10.582
3226.36663, 3,   1.839,  0.144, 10.410
3226.37159, 3,   2.078,  0.163, 10.381
3226.37666, 3,   2.260,  0.153, 10.381
3226.38155, 3,   2.442, -0.019, 10.534
3226.38648, 3,   2.576, -0.019, 10.534
3226.39155, 3,   2.710, -0.029, 10.544
3226.39640, 3,   2.787, -0.010, 10.563
3226.40136, 3,   2.988,  0.000, 10.467
3226.40634, 3,   2.988,  0.019, 10.525
3226.41134, 3,   3.122,  0.010, 10.420
3226.41630, 3,   3.122, -0.077, 10.420
3226.42125, 3,   3.208,  0.029, 10.257
3226.42629, 3,   3.151,  0.019, 10.132
3226.43114, 3,   3.151, -0.077, 10.132
3226.43609, 3,   3.132, -0.057, 10.113
3226.44107, 3,   3.199, -0.057,  9.941
3226.44600, 3,   3.218, -0.057,  9.826
3226.45097, 3,   3.227, -0.067,  9.902
3226.45600, 3,   3.352, -0.124,  9.797
3226.46100, 3,   3.342, -0.134,  9.778
3226.46592, 3,   3.400, -0.144,  9.644
3226.47088, 3,   3.496, -0.239,  9.644
3226.47585, 3,   3.601, -0.230,  9.519
3226.48077, 3,   3.582, -0.249,  9.452
3226.48568, 3,   3.658, -0.316,  9.462
3226.49079, 3,   3.649, -0.297,  9.452
3226.49561, 3,   3.591, -0.316,  9.538
3226.50058, 3,   3.505, -0.393,  9.558
3226.50551, 3,   3.524, -0.383,  9.538
3226.51047, 3,   3.543, -0.460,  9.462
3226.51543, 3,   3.563, -0.536,  9.347
3226.52041, 3,   3.572, -0.603,  9.328
3226.52537, 3,   3.582, -0.670,  9.395
3226.53032, 3,   3.496, -0.795,  9.376
3226.53528, 3,   3.496, -0.814,  9.309
3226.54031, 3,   3.390, -0.871,  9.328
3226.54523, 3,   3.381, -0.939,  9.337
3226.55017, 3,   3.266, -0.919,  9.337
3226.55513, 3,   3.285, -1.006,  9.424
3226.56010, 3,   3.227, -0.996,  9.491
3226.56504, 3,   3.218, -0.996,  9.558
3226.57000, 3,   3.112, -0.996,  9.692
3226.57507, 3,   3.122, -1.063,  9.759
3226.58003, 3,   3.199, -1.063,  9.902
3226.58498, 3,   3.199, -1.082,  9.902
3226.59002, 3,   3.103, -1.235,  9.922
3226.59492, 3,   3.112, -1.302,  9.835
3226.59976, 3,   3.170, -1.417,  9.855
3226.60470, 3,   3.074, -1.523,  9.855
3226.60966, 3,   3.074, -1.609,  9.826
3226.61462, 3,   2.998, -1.676,  9.845
3226.61957, 3,   3.007, -1.733,  9.922
3226.62455, 3,   3.065, -1.753,  9.912
3226.62949, 3,   3.055, -1.858,  9.931
3226.63445, 3,   3.055, -1.839,  9.912
3226.63941, 3,   2.969, -1.954,  9.883
3226.64439, 3,   2.988, -2.059,  9.768
3226.64932, 3,   2.978, -2.049,  9.768
3226.65428, 3,   2.978, -2.155,  9.663
3226.65923, 3,   2.911, -2.241,  9.558
3226.66420, 3,   2.835, -2.308,  9.443
3226.66916, 3,   2.710, -2.308,  9.424
3226.67443, 3,   2.605, -2.289,  9.366
3226.67946, 3,   2.471, -2.298,  9.299
3226.68460, 3,   2.452, -2.270,  9.232
3226.68934, 3,   2.365, -2.270,  9.127
3226.69397, 3,   2.298, -2.260,  9.117
3226.69893, 3,   2.184, -2.164,  9.184
3226.70387, 3,   2.107, -2.164,  9.184
3226.70892, 3,   2.002, -2.184,  9.270
3226.71381, 3,   1.925, -2.327,  9.251
3226.71875, 3,   1.867, -2.327,  9.242
3226.72371, 3,   1.848, -2.346,  9.318
3226.72867, 3,   1.839, -2.346,  9.299
3226.73363, 3,   1.762, -2.365,  9.290
3226.73858, 3,   1.743, -2.509,  9.290
3226.74354, 3,   1.647, -2.490,  9.213
3226.74851, 3,   1.618, -2.490,  9.127
3226.75348, 3,   1.638, -2.557,  9.146
3226.75843, 3,   1.532, -2.538,  9.012
3226.76341, 3,   1.465, -2.557,  9.012
3226.76836, 3,   1.446, -2.624,  8.878
3226.77333, 3,   1.379, -2.624,  8.859
3226.77833, 3,   1.322, -2.614,  8.849
3226.78326, 3,   1.178, -2.701,  8.868
3226.78819, 3,   1.159, -2.710,  8.868
3226.79326, 3,   1.073, -2.816,  8.849
3226.79813, 3,   0.891, -2.835,  8.782
3226.80309, 3,   0.728, -2.854,  8.705
3226.80804, 3,   0.632, -2.729,  8.590
3226.81301, 3,   0.469, -2.701,  8.600
3226.81796, 3,   0.287, -2.547,  8.581
3226.82294, 3,   0.144, -2.528,  8.514
3226.82787, 3,   0.077, -2.413,  8.590
3226.83283, 3,   0.000, -2.385,  8.610
3226.83777, 3,  -0.115, -2.298,  8.600
3226.84276, 3,  -0.115, -2.298,  8.533
3226.84768, 3,  -0.134, -2.318,  8.533
3226.85264, 3,  -0.115, -2.375,  8.543
3226.85783, 3,  -0.010, -2.442,  8.610
3226.86255, 3,  -0.019, -2.576,  8.667
3226.86752, 3,   0.000, -2.739,  8.811
3226.87248, 3,   0.096, -2.883,  8.792
3226.87751, 3,   0.268, -3.017,  8.811
3226.88241, 3,   0.287, -2.998,  8.811
3226.88733, 3,   0.402, -3.151,  8.792
3226.89239, 3,   0.402, -3.361,  8.897
3226.89725, 3,   0.383, -3.438,  9.021
3226.90220, 3,   0.393, -3.524,  9.184
3226.90716, 3,   0.268, -3.582,  9.357
3226.91213, 3,   0.172, -3.457,  9.500
3226.91707, 3,   0.067, -3.256,  9.500
3226.92206, 3,  -0.096, -2.978,  9.519
3226.92702, 3,  -0.172, -2.796,  9.510
3226.93199, 3,  -0.316, -2.624,  9.452
3226.93693, 3,  -0.488, -2.423,  9.452
3226.94195, 3,  -0.632, -2.270,  9.529
3226.94695, 3,  -0.709, -2.212,  9.538
3226.95203, 3,  -0.690, -2.021,  9.558
3226.95676, 3,  -0.670, -1.896,  9.663
3226.96175, 3,  -0.565, -1.705,  9.787
3226.96668, 3,  -0.431, -1.504,  9.979
3226.97164, 3,  -0.230, -1.408, 10.094
3226.97662, 3,   0.019, -1.571, 10.075
3226.98159, 3,   0.278, -1.772, 10.075
3226.98651, 3,   0.498, -1.944, 10.094
3226.99163, 3,   0.709, -2.040, 10.266
3226.99647, 3,   0.862, -1.982, 10.285
3227.00143, 3,   1.006, -1.973, 10.276
3227.00636, 3,   1.006, -1.839, 10.295
3227.01136, 3,   0.986, -1.657, 10.314
3227.01630, 3,   0.977, -1.561, 10.314
3227.02130, 3,   0.958, -1.456, 10.218
3227.02628, 3,   0.785, -1.475, 10.238
3227.03122, 3,   0.709, -1.484, 10.161
3227.03619, 3,   0.613, -1.379, 10.161
3227.04115, 3,   0.402, -1.302, 10.180
3227.04613, 3,   0.373, -1.168, 10.056
3227.05106, 3,   0.182, -0.986, 10.056
3227.05601, 3,   0.172, -0.728, 10.123
3227.06098, 3,   0.287, -0.728, 10.228
3227.06592, 3,   0.479, -0.603, 10.113
3227.07090, 3,   0.804, -0.737, 10.180
3227.07591, 3,   1.025, -0.737, 10.171
3227.08084, 3,   1.255, -0.804, 10.161
3227.08579, 3,   1.513, -0.690, 10.075
3227.09076, 3,   1.714, -0.508, 10.209
3227.09570, 3,   1.887, -0.364, 10.199
3227.10070, 3,   1.973, -0.239, 10.209
3227.10563, 3,   1.973, -0.172, 10.218
3227.11060, 3,   1.887, -0.096, 10.238
3227.11556, 3,   1.657, -0.096, 10.180
3227.12051, 3,   1.379, -0.010, 10.123
3227.12548, 3,   1.168,  0.134,  9.845
3227.13044, 3,   0.929,  0.115,  9.845
3227.13542, 3,   0.690,  0.115, 10.075
3227.14043, 3,   0.508,  0.105, 10.228
3227.14537, 3,   0.431,  0.124, 10.381
3227.15032, 3,   0.546,  0.192, 10.506
3227.15530, 3,   0.670,  0.211, 10.448
3227.16031, 3,   0.881,  0.182, 10.554
3227.16518, 3,   1.245,  0.115, 10.755
3227.17015, 3,   1.523, -0.038, 11.032
3227.17510, 3,   1.705, -0.163, 11.157
3227.18005, 3,   1.858, -0.153, 11.176
3227.18499, 3,   1.963, -0.134, 11.109
3227.19002, 3,   2.021, -0.144, 11.377
3227.19490, 3,   2.088, -0.144, 11.396
3227.19987, 3,   2.088, -0.201, 11.617
3227.20480, 3,   1.963, -0.144, 11.712
3227.20977, 3,   1.887, -0.019, 11.607
3227.21470, 3,   1.781,  0.192, 11.463
3227.21967, 3,   1.618,  0.172, 11.463
3227.22462, 3,   1.379,  0.153, 11.703
3227.22956, 3,   1.226,  0.086, 11.808
3227.23450, 3,   1.111, -0.019, 11.942
3227.23946, 3,   1.025,  0.067, 11.856
3227.24442, 3,   1.120,  0.057, 11.914
3227.24938, 3,   1.216,  0.077, 11.981
3227.25434, 3,   1.437,  0.077, 12.115
3227.25930, 3,   1.609,  0.067, 12.383
3227.26426, 3,   1.781, -0.019, 12.613
3227.26922, 3,   1.915, -0.038, 12.756
3227.27426, 3,   2.011, -0.182, 12.986
3227.27931, 3,   2.107, -0.268, 13.216
3227.28467, 3,   2.298, -0.373, 13.542
3227.28922, 3,   2.433, -0.517, 13.848
3227.29406, 3,   2.595, -0.594, 13.848
3227.29899, 3,   2.653, -0.613, 13.838
3227.30395, 3,   2.758, -0.728, 13.858
3227.30904, 3,   2.758, -0.709, 13.733
3227.31388, 3,   2.978, -0.594, 13.618
3227.31884, 3,   3.170, -0.421, 13.369
3227.32379, 3,   3.428, -0.402, 13.101
3227.32875, 3,   3.735, -0.421, 12.814
3227.33373, 3,   4.061, -0.613, 12.488
3227.33866, 3,   4.329, -0.632, 12.316
3227.34363, 3,   4.597, -0.728, 12.067
3227.34858, 3,   4.836, -0.795, 11.856
3227.35357, 3,   5.009, -0.728, 11.559
3227.35850, 3,   5.162, -0.661, 11.224
3227.36347, 3,   5.296, -0.642, 10.879
3227.36866, 3,   5.296, -0.575, 10.697
3227.37339, 3,   5.411, -0.555, 10.506
3227.37837, 3,   5.526, -0.498, 10.305
3227.38331, 3,   5.641, -0.421, 10.104
3227.38822, 3,   5.727, -0.508,  9.950
3227.39328, 3,   5.717, -0.575,  9.835
3227.39814, 3,   5.593, -0.555,  9.749
3227.40310, 3,   5.526, -0.661,  9.567
3227.40805, 3,   5.296, -0.565,  9.404
3227.41304, 3,   5.095, -0.642,  9.261
3227.41796, 3,   4.942, -0.651,  9.165
3227.42292, 3,   4.702, -0.795,  9.088
3227.42788, 3,   4.559, -1.034,  8.906
3227.43287, 3,   4.434, -1.197,  8.782
3227.43779, 3,   4.377, -1.427,  8.475
3227.44275, 3,   4.319, -1.484,  8.303
3227.44797, 3,   4.319, -1.580,  8.083
3227.45269, 3,   4.319, -1.638,  8.064
3227.45762, 3,   4.338, -1.705,  7.968
3227.46258, 3,   4.357, -1.762,  7.968
3227.46754, 3,   4.482, -1.753,  8.054
3227.47250, 3,   4.616, -1.724,  8.054
3227.47752, 3,   4.673, -1.705,  8.054
3227.48245, 3,   4.808, -1.686,  8.045
3227.48738, 3,   4.827, -1.666,  8.054
3227.49246, 3,   4.942, -1.676,  8.131
3227.49728, 3,   4.932, -1.590,  8.150
3227.50223, 3,   4.932, -1.609,  8.092
3227.50717, 3,   4.951, -1.666,  8.064
3227.51215, 3,   4.951, -1.666,  8.045
3227.51709, 3,   4.884, -1.666,  7.987
3227.52205, 3,   4.884, -1.772,  7.987
3227.52700, 3,   4.855, -1.858,  8.006
3227.53198, 3,   4.827, -1.858,  8.159
3227.53691, 3,   4.750, -1.944,  8.246
3227.54213, 3,   4.645, -2.049,  8.246
3227.54725, 3,   4.645, -2.049,  8.341
3227.55231, 3,   4.645, -2.069,  8.341
3227.55726, 3,   4.616, -2.069,  8.408
3227.56191, 3,   4.635, -2.069,  8.514
3227.56667, 3,   4.568, -2.078,  8.514
3227.57307, 3,   4.568, -2.059,  8.571
3227.57658, 3,   4.539, -2.030,  8.705
3227.58158, 3,   4.463, -1.973,  8.926
3227.58652, 3,   4.453, -1.973,  9.002
3227.59148, 3,   4.348, -1.954,  9.021
3227.59660, 3,   4.290, -1.925,  9.041
3227.60156, 3,   4.271, -1.839,  9.261
3227.60635, 3,   4.243, -1.762,  9.261
3227.61146, 3,   4.108, -1.762,  9.261
3227.61641, 3,   4.003, -1.743,  9.261
3227.62138, 3,   3.926, -1.618,  9.424
3227.62631, 3,   3.792, -1.733,  9.491
3227.63127, 3,   3.649, -1.733,  9.615
3227.63623, 3,   3.591, -1.810,  9.634
3227.64119, 3,   3.486, -1.810,  9.730
3227.64615, 3,   3.381, -1.810,  9.787
3227.65109, 3,   3.323, -1.724,  9.807
3227.65607, 3,   3.266, -1.743,  9.874
3227.66106, 3,   3.199, -1.867,  9.807
3227.66598, 3,   3.199, -1.963,  9.778
3227.67082, 3,   3.189, -1.973,  9.778
3227.67582, 3,   3.170, -2.069,  9.701
3227.68077, 3,   3.151, -2.126,  9.692
3227.68569, 3,   3.247, -2.126,  9.663
3227.69062, 3,   3.323, -2.184,  9.653
3227.69558, 3,   3.419, -2.116,  9.720
3227.70073, 3,   3.409, -2.116,  9.711
3227.70563, 3,   3.515, -2.174,  9.615
3227.71041, 3,   3.591, -2.155,  9.500
3227.71553, 3,   3.610, -2.145,  9.500
3227.72049, 3,   3.601, -2.136,  9.376
3227.72542, 3,   3.572, -2.136,  9.290
3227.73037, 3,   3.515, -2.136,  9.290
3227.73531, 3,   3.400, -2.126,  9.347
3227.74025, 3,   3.256, -2.116,  9.443
3227.74522, 3,   3.122, -2.116,  9.567
3227.75017, 3,   2.988, -2.049,  9.577
3227.75510, 3,   2.796, -2.049,  9.673
3227.76010, 3,   2.643, -2.049,  9.692
3227.76500, 3,   2.624, -2.059,  9.979
3227.77000, 3,   2.509, -2.030,  9.864
3227.77477, 3,   2.423, -1.954, 10.027
3227.77977, 3,   2.433, -1.954, 10.123
3227.78467, 3,   2.452, -1.925, 10.218
3227.78970, 3,   2.509, -1.925, 10.113
3227.79466, 3,   2.586, -1.915, 10.180
3227.79969, 3,   2.672, -1.848, 10.171
3227.80462, 3,   2.729, -1.848, 10.324
3227.80956, 3,   2.844, -1.829, 10.496
3227.81451, 3,   2.854, -1.839, 10.688
3227.81946, 3,   2.969, -1.743, 10.822
3227.82441, 3,   2.969, -1.743, 10.879
3227.82937, 3,   3.112, -1.753, 10.889
3227.83431, 3,   3.170, -1.753, 10.889
3227.83926, 3,   3.189, -1.743, 10.870
3227.84422, 3,   3.179, -1.925, 10.688
3227.84917, 3,   3.122, -2.136, 10.525
3227.85412, 3,   3.103, -2.193, 10.496
3227.85908, 3,   2.988, -2.260, 10.467
3227.86422, 3,   2.902, -2.394, 10.353
3227.86906, 3,   2.691, -2.385, 10.285
3227.87407, 3,   2.595, -2.279, 10.180
3227.87893, 3,   2.500, -2.260,  9.989
3227.88369, 3,   2.365, -2.078,  9.845
3227.88868, 3,   2.289, -1.973,  9.759
3227.89360, 3,   2.260, -1.743, 10.036
3227.89870, 3,   2.145, -1.513, 10.161
3227.90366, 3,   2.011, -1.427, 10.180
3227.90845, 3,   1.915, -1.417, 10.171
3227.91357, 3,   1.762, -1.389, 10.046
3227.91850, 3,   1.753, -1.216, 10.046
3227.92329, 3,   1.561, -1.207,  9.941
3227.92839, 3,   1.465, -1.188,  9.883
3227.93334, 3,   1.274, -1.130,  9.874
3227.93829, 3,   0.881, -1.140,  9.644
3227.94326, 3,   0.393, -1.130,  9.452
3227.94819, 3,  -0.048, -0.910,  9.443
3227.95314, 3,  -0.383, -0.996,  9.376
3227.95809, 3,  -0.785, -1.073,  9.184
3227.96305, 3,  -1.092, -1.350,  9.041
3227.96798, 3,  -1.446, -1.465,  8.983
3227.97306, 3,  -1.820, -1.657,  8.839
3227.97803, 3,  -2.069, -1.733,  8.715
3227.98312, 3,  -2.298, -1.848,  8.657
3227.98817, 3,  -2.442, -1.867,  8.504
3227.99286, 3,  -2.710, -1.877,  8.475
3227.99769, 3,  -2.998, -1.973,  8.552
3228.00256, 3,  -3.409, -2.088,  8.657
3228.00754, 3,  -3.725, -2.088,  8.859
3228.01249, 3,  -4.022, -2.155,  9.155
3228.01768, 3,  -4.271, -1.954,  9.462
3228.02263, 3,  -4.434, -1.858,  9.730
3228.02741, 3,  -4.616, -1.628, 10.161
3228.03255, 3,  -4.683, -1.523, 10.592
3228.03746, 3,  -4.741, -1.226, 10.927
3228.04242, 3,  -4.721, -1.283, 11.071
3228.04738, 3,  -4.626, -1.264, 11.224
3228.05233, 3,  -4.530, -1.245, 11.358
3228.05728, 3,  -4.338, -1.216, 11.349
3228.06226, 3,  -4.262, -1.159, 11.339
3228.06719, 3,  -4.204, -1.140, 11.272
3228.07215, 3,  -4.137, -1.197, 11.100
3228.07710, 3,  -4.061, -1.140, 10.975
3228.08207, 3,  -3.917, -1.245, 10.956
3228.08701, 3,  -3.649, -1.120, 10.956
3228.09197, 3,  -3.457, -1.120, 11.023
3228.09692, 3,  -3.189, -1.006, 11.032
3228.10181, 3,  -2.940, -0.910, 10.975
3228.10679, 3,  -2.758, -0.776, 10.841
3228.11161, 3,  -2.519, -0.757, 10.841
3228.11667, 3,  -2.337, -0.699, 11.100
3228.12192, 3,  -2.107, -0.680, 11.157
3228.12646, 3,  -1.820, -0.565, 11.176
3228.13144, 3,  -1.446, -0.268, 11.119
3228.13639, 3,  -1.159, -0.249, 11.109
3228.14130, 3,  -0.891, -0.134, 10.985
3228.14629, 3,  -0.699,  0.096, 10.678
3228.15123, 3,  -0.441,  0.192, 10.669
3228.15619, 3,  -0.345,  0.297, 10.391
3228.16121, 3,  -0.144,  0.268, 10.247
3228.16634, 3,  -0.029,  0.201, 10.075
3228.17128, 3,   0.153,  0.057,  9.864
3228.17622, 3,   0.153,  0.077,  9.787
3228.18121, 3,   0.326,  0.019,  9.778
3228.18615, 3,   0.316, -0.105,  9.768
3228.19110, 3,   0.412, -0.105,  9.941
3228.19606, 3,   0.536, -0.105,  9.855
3228.20108, 3,   0.536, -0.192,  9.778
3228.20629, 3,   0.699, -0.249,  9.653
3228.21122, 3,   0.804, -0.268,  9.519
3228.21616, 3,   0.824, -0.259,  9.538
3228.22117, 3,   0.910, -0.278,  9.538
3228.22559, 3,   0.977, -0.364,  9.634
3228.23058, 3,   1.063, -0.278,  9.644
3228.23552, 3,   1.082, -0.124,  9.625
3228.24048, 3,   1.092, -0.192,  9.711
3228.24543, 3,   1.092, -0.086,  9.653
3228.25039, 3,   1.111, -0.077,  9.673
3228.25536, 3,   1.188, -0.077,  9.682
3228.26040, 3,   1.159, -0.067,  9.749
3228.26528, 3,   1.149, -0.153,  9.749
3228.27031, 3,   1.120, -0.144,  9.682
3228.27518, 3,   1.053, -0.163,  9.663
3228.28015, 3,   0.986, -0.278,  9.730
3228.28512, 3,   0.891, -0.287,  9.730
3228.29009, 3,   0.891, -0.441,  9.797
3228.29505, 3,   0.824, -0.460,  9.787
3228.30005, 3,   0.804, -0.527,  9.768
3228.30497, 3,   0.728, -0.527,  9.787
3228.30989, 3,   0.795, -0.546,  9.807
3228.31488, 3,   0.728, -0.527,  9.826
3228.31982, 3,   0.747, -0.536,  9.922
3228.32478, 3,   0.833, -0.603,  9.912
3228.32974, 3,   0.939, -0.584,  9.768
3228.33470, 3,   1.025, -0.565,  9.835
3228.33966, 3,   1.120, -0.431,  9.807
3228.34463, 3,   1.207, -0.412,  9.874
3228.34960, 3,   1.341, -0.316,  9.989
3228.35456, 3,   1.360, -0.259, 10.065
3228.35950, 3,   1.456, -0.182,  9.941
3228.36447, 3,   1.523, -0.096,  9.768
3228.36942, 3,   1.542,  0.048,  9.644
3228.37440, 3,   1.628,  0.105,  9.538
3228.37935, 3,   1.628,  0.029,  9.558
3228.38431, 3,   1.561,  0.019,  9.538
3228.38926, 3,   1.542, -0.038,  9.538
3228.39422, 3,   1.446, -0.048,  9.452
3228.39918, 3,   1.350, -0.220,  9.462
3228.40414, 3,   1.293, -0.211,  9.452
3228.40911, 3,   1.207, -0.316,  9.462
3228.41407, 3,   1.082, -0.297,  9.529
3228.41900, 3,   1.082, -0.316,  9.625
3228.42402, 3,   1.082, -0.460,  9.644
3228.42910, 3,   1.073, -0.450,  9.644
3228.43390, 3,   1.082, -0.555,  9.740
3228.43887, 3,   1.073, -0.546,  9.749
3228.44381, 3,   1.073, -0.613,  9.922
3228.44876, 3,   1.063, -0.536,  9.893
3228.45372, 3,   1.140, -0.527,  9.874
3228.45870, 3,   1.207, -0.373,  9.979
3228.46364, 3,   1.302, -0.354,  9.960
3228.46860, 3,   1.312, -0.297,  9.845
3228.47356, 3,   1.331, -0.297,  9.835
3228.47852, 3,   1.437, -0.354,  9.893
3228.48347, 3,   1.417, -0.239,  9.807
3228.48844, 3,   1.408, -0.259,  9.883
3228.49339, 3,   1.379, -0.278,  9.883
3228.49836, 3,   1.369, -0.278,  9.874
3228.50331, 3,   1.369, -0.278,  9.711
3228.50829, 3,   1.293, -0.383,  9.538
3228.51324, 3,   1.312, -0.316,  9.538
3228.51816, 3,   1.293, -0.316,  9.452
3228.52311, 3,   1.312, -0.316,  9.280
3228.52822, 3,   1.034, -0.642,  6.225
3228.53303, 3,   0.852, -0.326,  7.077
3228.53799, 3,   0.402, -0.326,  9.347
3228.54291, 3,   0.163, -0.306,  9.912
3228.54797, 3,   0.297, -0.096,  9.548
3228.55285, 3,   0.747,  0.498,  8.399
3228.55781, 3,   1.178,  0.565,  9.012
3228.56278, 3,   1.274,  0.211,  9.615
3228.56771, 3,   1.159, -0.182,  9.701
3228.57274, 3,   1.092, -0.373,  9.701
3228.57764, 3,   1.092, -0.450,  9.692
3228.58260, 3,   1.082, -0.450,  9.673
3228.58758, 3,   1.073, -0.460,  9.749
3228.59254, 3,   1.082, -0.527,  9.960
3228.59749, 3,   1.015, -0.517, 10.017
3228.60245, 3,   0.939, -0.622, 10.151
3228.60740, 3,   0.910, -0.622, 10.314
